input,output
Communication,Communication
It was a good module,It was a good module
Team work,Team work
"The sense of hope instilled in me while completing the module, and the relevancy of the information.","The sense of hope instilled in me while completing the module, and the relevancy of the information."
It was perfect.,It was perfect.
The actionable insights which I used to change my LinkedIn right away.,The actionable insights which I used to change my LinkedIn right away.
It is great already.,It is great already.
"Inspirant, instructif, ludique et efficace!","Inspiring, informative, fun and effective!"
"Honnêtement, c'est le meilleur accompagnement que j'ai eu depuis mon arrivée au Canada. Je viens de comprends mes lacunes et les enjeux rencontrés grâce à ce premier module. De plus, je vais être en mesure de bâtir mes objectifs suivant les précieux conseils que vous avez partagé. Je suis ravie!","Honestly, this is the best accompaniment I have had since I arrived in Canada.I have just understood my shortcomings and the issues encountered thanks to this first module.In addition, I will be able to build my goals according to the precious advice you have shared.I am glad!"
1.5 Journal : La ligne de vie de vos compétences transférables,1.5 Journal: The lifeline of your transferable skills
2.5 Guide d’utilisation de LinkedIn,2.5 Linkedin user guide
Voir point 4 ci-dessus,See point 4 above
"J'ai mis le double du temps mentionné pour ce module.
Je pense que ça prend minimum 2h30 si nous voulons bien analyser et comprendre le contenu.","I put double the time mentioned for this module.
I think it takes minimum 2:30 if we want to analyze and understand the content."
"J'ai bien aimé le fait de partager des vidéos sur les expériences et les conseils de personnes issues de l'immigration. Peut-être en mettre davantage pour avoir un côté ""animé"" dans les ateliers.","I liked the fact of sharing videos on the experiences and advice of people from immigration.Maybe put more to have a ""animated"" side in the workshops."
Le mentorat,Mentoring
Peut-être ajouter des exemples d'offres et des CV qui correspondent le mieux,Perhaps add examples of offers and CVs that best match
le cours 4.7,Cours 4.7
5.4 Les styles de communication,5.4 Communication styles
6.5 Comprendre la culture organisationnelle et la hiérarchie,6.5 Understand organizational culture and hierarchy
more video materials,more video materials
meditation,meditation
First video about public speaking,First video about public speaking
Reading about networking,Reading about networking
Nazir`s videos,Nazir`s videos
share more video examples of the interviews,share more video examples of the interviews
Communication styles,Communication styles
Provides video examples of communication styles,Provides video examples of communication styles
inlude more relevant videos.,include more relevant videos.
like to see more videos on personal branding.,like to see more videos on personal branding.
Digital Portfolios,Digital Portfolios
Interview Soft Skills,Interview Soft Skills
Professional Communication types,Professional Communication types
Professional community of support.,Professional community of support.
How to get community support.,How to get community support.
"It's a great way to learn about mentorship, volunteering and how to talk to the people, who you don't know.","It's a great way to learn about mentorship, volunteering and how to talk to the people, who you don't know."
Keywords and your resume,Keywords and your resume
self confidence,self confidence
"I learnt, how to make a resume.","I learnt, how to make a resume."
Thank you for giving us the opportunity to learn.,Thank you for giving us the opportunity to learn.
"I learnt, How to talk professionally.","I learnt, How to talk professionally."
Different styles of communication.,Different styles of communication.
"Negotiating salary, Managing time and expectations.","Negotiating salary, Managing time and expectations."
The onboarding process helped prepare me for the best job.,The onboarding process helped prepare me for the best job.
Create a supportive work environment.,Create a supportive work environment.
I enjoy been able to play with the program and explore the program.,I enjoy been able to play with the program and explore the program.
I really enjoy Module 1 because it was my first online experience,I really enjoy Module 1 because it was my first online experience
Self confidence and Self promotion is my favorite part of Module 2,Self confidence and Self promotion is my favorite part of Module 2
Na,Na
Module concernant mes points forts,Module concerning my strengths
Le module ce très enrichissant,The very enriching module
Je suis satisfaite,I'm satisfied
"Some resources and links were expired, and the page was not found.","Some resources and links were expired, and the page was not found."
Resources and links provided by the module,Resources and links provided by the module
Hope more examples could be given,Hope more examples could be given
Additional Resources and Video Classes,Additional Resources and Video Classes
more examples could be given,more examples could be given
video lesson,video lesson
skills of experince,skills of experience
improving our skills,improving our skills
I SO MANY LEARN IN MODULE -1,I SO MANY LEARN IN MODULE -1
GUIDE LINE TO LINKDIN,GUIDELINE TO LINKEDIN
PLAN YOUR CARRRER AND ITS PROGRESSSION.,PLAN YOUR CAREER AND ITS PROGRESSION.
PERSONAL BRANDING,PERSONAL BRANDING
good for practice,good for practice
professnal communication,professional communication
good improve my self,good improve my self
lots of i learn,lots of i learn
La découverte des Points Forts,Discovery of strengths
Les mettre en vidéo ou audio comme alternative aux textes,Put them in video or audio as an alternative to texts
Pas de commentaire,No comment
La création du portfolio,The creation of the portfolio
Il était plutôt long.,It was rather long.
Le point sur le mentorat et la culture canadienne,The point on mentorship and Canadian culture
la methode star et les videos illustratives,Star method and illustrative videos
La methode KFC et les styles de communication,KFC method and communication styles
plus de videos,More videos
la culture organisationnelle,Organizational culture
Discussion of soft and transferrable skills,Discussion of soft and transferable skills
personal branding,personal branding
digital portfolio,digital portfolio
"Networking, benefits of having a mentor","Networking, benefits of having a mentor"
interview with HR advisor,interview with HR advisor
interview techniques,interview techniques
Kinds of communication channel,Kinds of communication channel
"Job Offer details
Understanding and knowing company cultures","Job Offer details
Understanding and knowing company cultures"
5,5
4,4
3,3
Nothing,Nothing
All module is interesting for me,All module is interesting for me
I like the combination of pictures and video and quizz,I like the combination of pictures and video and quiz
All the module is interesting,All the module is interesting
Is it very interesting module,Is it very interesting module
All module,All module
All the module is important,All the module is important
Key strengths that employers look for,Key strengths that employers look for
more interactive parts,more interactive parts
When is the workgroup?,When is the workgroup?
2.3 Video: Connecting through personal branding.,2.3 Video: Connecting through personal branding.
offline workshop or meeting,offline workshop or meeting
The resources and websites of the programs.,The resources and websites of the programs.
4.6 keywords and resume,4.6 keywords and resume
The part of the actual etiquette and practices in Canada.,The part of the actual etiquette and practices in Canada.
N/A.,N/A.
Organizational Cultures,Organizational Cultures
La partie concernant la trasferabilite des competences (la plus part des immigrants ont de l'exerience hors du Canada et donc il est important de savoir que ces competences sont transferables),The part concerning the transferability of skills (most immigrants have exempt outside Canada and therefore it is important to know that these skills are transferable)
tout y est selon moi,everything is there in my opinion
l'utilisation optimale des reseaux sociaux,optimal use of social networks
Rien a signaler,Nothing to report
"I liked all the part, the reading lessons, the video, the interviewer questions, meditation, quiz. All are equally important I feel.","I liked all the part, the reading lessons, the video, the interviewer questions, meditation, quiz. All are equally important I feel."
I feel its perfect. Its the self analysis to discover your strengths.,I feel its perfect. Its the self analysis to discover your strengths.
"All the topics were very interesting. The 2 below will benefit me a lot:
1. How to use LinkedIn to find Jobs.
2. How to increase your LinkedIn engagement.","All the topics were very interesting. The 2 below will benefit me a lot:
1. How to use LinkedIn to find Jobs.
2. How to increase your LinkedIn engagement."
It all perfect.,It all perfect.
It's perfect. Has a lot of informative content.,It's perfect. Has a lot of informative content.
Mentoring and Introductory Questions,Mentoring and Introductory Questions
Not any.,Not any.
"Preparation of Resume, Preparing for Interview. How to keep myself positive.","Preparation of Resume, Preparing for Interview. How to keep myself positive."
All Good.,All Good.
Things to consider when talking on different communication channels.,Things to consider when talking on different communication channels.
Understanding the work culture of the organisation.,Understanding the work culture of the organisation.
Module 1 of ASCEND is a great source to identify and assesss our strengths and weaknesses.,Module 1 of ASCEND is a great source to identify and assess your strengths and weaknesses.
Module 1 will assist in identifying strengths and transferrable skills and can focus on the skills we haven't excelled yet.,Module 1 will assist in identifying strengths and transferrable skills and can focus on the skills we haven't excelled yet.
Meditation and Journaling were my favourite part of module 1,Meditation and Journaling were my favourite part of module 1
"Identifiez ses forces, les principales forces recherchées par les emplayeurs, les compétences transférables, la médiation, les types d'emplois au Canada.","Identify its forces, the main forces sought by employers, transferable skills, mediation, types of jobs in Canada."
En mettant les retranscriptions en français puisqu'elles sont déjà en anglais.,By putting the transcripts in French since they are already in English.
Élargir plus d'horizon avec les cas réels de nouveaux arrivants.,Expand more horizon with the real cases of new arrivals.
"Peut être je suis mauvais élève, mais c'est le rythme est bon, merci.","Maybe I'm a bad student, but it's the pace is good, thank you."
En mettant en pratique avec un exemple concret l'importance de la marque personnelle dans la réussite professionnelle d'un immigrant au Canada.,By putting into practice with a concrete example the importance of the personal brand in the professional success of an immigrant in Canada.
"Comment rendre son profil LinkedIn professionnel, l'utilisation des autres réseaux sociaux pour trouver un emploi, hashtags, publication en ligne et blogs, tous les éléments qui définit la marque personnelle.","How to make your LinkedIn Professional profile, the use of other social networks to find a job, hashtags, online publication and blogs, all the elements that defines the personal brand."
"Faire la retranscription en français de la vidéo d'embauche de Gevido...
Merci","Make the French transcription of Gevido's hiring video ...
THANKS"
"Qui peut faire partie de ma communauté de support, comment peut elle me soutenir, les stratégies nécessaires pour m'aider à bâtir ma communauté de support, les entretiens informels et le mentorat.","Who can be part of my medium of support, how can it support me, the strategies necessary to help me build my community of support, informal interviews and mentoring."
En mettant en place un système de mentorat pour les nouveaux arrivants après cette formation et ça un dans son domaine.,By setting up a mentoring system for newcomers after this training and that one in its field.
"Toutes les parties de ce module étaient intéressantes. Surtout les entretiens initiaux par téléphone, les entretiens en personne, les second-entretiens. Les aptitudes et forces : bonne stratégie pour les mettre en pratique, la suivi post-entretien etc.","All parts of this module were interesting.Especially the initial interviews by telephone, the interviews in person, the second-entretians.Skills and forces: Good strategy to put them into practice, post-entretian follow-up etc."
La retranscription en français de la vidéo d'Edmunds.,The French transcription of Edmunds' video.
Tout est bon. Je dirais que je possède déjà les 70% des compétences pour ma recherche d'emploi au Canada. Merci ASCEND!,All is well.I would say that I already have 70% of skills for my job search in Canada.Thank you go!
"Introduire plus de vidéo car pour moi, le visuel est plus captivant.
Merci !","Introduce more video because for me, the visual is more captivating.
THANKS !"
"D'abord les objectifs du modules, ensuite les canaux de communication et leurs utilisations, l'utilisation des visioconférences, les styles de communication, le jeu de compréhension, et enfin, la communication non-verbale.","First the objectives of the modules, then the communication channels and their uses, the use of videoconferences, communication styles, understanding game, and finally, non-verbal communication."
Mettre toutes les retranscriptions en français : exemple de l'interview de Lee.... (tous les autres sont en français sauf l'interview) et simplifié les textes le plus possible.,Put all the transcripts in French: example of the lee interview .... (all the others are in French except the interview) and simplified the texts as much as possible.
Mettre les retranscriptions des vidéos en français...,Put the transcripts of videos in French ...
"Comment obtenir l'offre d'emploi, comment négocier son salaire, comment réussir ses premiers mois au travail, comprendre la culture organisationnelle, comment gérer le temps et les attentes, le jeu, etc. Toutes les parties du module sont intéressantes.","How to obtain the job offer, how to negotiate your salary, how to pass your first months at work, understand organizational culture, how to manage time and expectations, games, etc.All parts of the module are interesting."
"En ajoutant plus de jeu, ceci permet de résumer presque tous le cours et de mieux comprendre en s'amusant.","By adding more games, this makes it possible to summarize the course almost all and to understand better while having fun."
no thing,no thing
more video,more video
strength  skills,strength  skills
no comment,no comment
more example,more example
all the information is useful.,all the information is useful.
nothing,nothing
everything was useful,everything was useful
more example,more example
nice,nice
nice,nice
"To know all ability and strength that every person have , how analyst work culture and communicate in workplace.","To know all ability and strength that every person have , how analyst work culture and communicate in workplace."
All parts were interesting for me .,All parts were interesting for me .
Illustration,Illustration
Transferable skills,Transferable skills
My favorite part was starting to think about my skills and the importance of setting examples.,My favorite part was starting to think about my skills and the importance of setting examples.
"In my opinion, module one is very good, if there were more videos it would be useful.","In my opinion, module one is very good, if there were more videos it would be useful."
"In my opinion, Journal Exercise: Timeline will be very good for me to get to know myself better andt serves to recognize my achievements from the past and how they impact my future here in canada.","In my opinion, Journal Exercise: Timeline will be very good for me to get to know myself better andt serves to recognize my achievements from the past and how they impact my future here in canada."
Actually nothing so far.,Actually nothing so far.
The importance of having an account in LinkedIn and tips for interviewing online.,The importance of having an account in LinkedIn and tips for interviewing online.
"I'm really enjoying the first modules, I think they will help me a lot in finding a job.","I'm really enjoying the first modules, I think they will help me a lot in finding a job."
It was about mentor and volunteer job.,It was about mentor and volunteer job.
I don't know. In my opinion it is very good.,I don't know. In my opinion it is very good.
About the importante to matching the cover letter and the resume to the job means.,About the importante to matching the cover letter and the resume to the job means.
In my opinion was very important to know about the STAR technique.,In my opinion was very important to know about the STAR technique.
In my opinion Module 4 was perfect.,In my opinion Module 4 was perfect.
"Communication channels about email, phone and meetings.","Communication channels about email, phone and meetings."
It was very good.,It was very good.
It was about creating and maintaining relationships at work.,It was about creating and maintaining relationships at work.
It was good.,It was good.
Something that can help us to know what we've got for real. Maybe a quiz that will help us to put a word on what we have,Something that can help us to know what we've got for real. Maybe a quiz that will help us to put a word on what we have
Identifying strengths and learning the key strengths that employers look for,Identifying strengths and learning the key strengths that employers look for
Video with Ty Lowe,Video with Ty Lowe
Interview with Mavis Gevido,Interview with Mavis Gevido
Interview with Bethany Edmunds,Interview with Bethany Edmunds
Interview with Kathy Gibson,Interview with Kathy Gibson
add some examples about good and bad practices on linkedin,add some examples about good and bad practices on linkedin
linkedin guide,linkedin guide
how to connect with other people,how to connect with other people
The interview suggestions,The interview suggestions
it was inisghtful,it was insightful
knowing about transferable skills,knowing about transferable skills
i would prefer a detailed video on the course,i would prefer a detailed video on the course
TALKING ABOUT SOCIAL MEDIA AND BRANDING,TALKING ABOUT SOCIAL MEDIA AND BRANDING
it wsas good information,it wsas good information
about volunteering,about volunteering
none,none
tips on phone interview,tips on phone interview
"KNOW, FEEL COMMIT","KNOW, FEEL COMMIT"
ELABORATING MORE ON COMPORTMENT DURING ONLINE MEETINGS,ELABORATING MORE ON COMPORTMENT DURING ONLINE MEETINGS
NONE,NONE
Rule of thumb about office relations.,Rule of thumb about office relations.
Talk more on how to relate with colleagues at work,Talk more on how to relate with colleagues at work
I realy liked learned abou network and how improve it.,I really liked learned about network and how improve it.
Abou Mentorship,Abou Mentorship
Techniques to improve the interview,Techniques to improve the interview
About the different ways to treat each professional in Canada.,About the different ways to treat each professional in Canada.
About Job offer,About Job offer
Having to deal with finding and applying for a job and highlighting one's strengths,Having to deal with finding and applying for a job and highlighting one's strengths
Learning different skills that will help me find a suitable job opportunity in the future.,Learning different skills that will help me find a suitable job opportunity in the future.
Answering quiz,Answering quiz
Informative,Informative
quizzes,quizzes
happy to finish the module,happy to finish the module
more videos,more videos
It was amazing but a little bit lengthy.,It was amazing but a little bit lengthy.
what to expect in the interview,what to expect in the interview
Module was helpful.,Module was helpful.
Overall experience was good,Overall experience was good
"Ways of communication
KFC concept","Ways of communication
KFC concept"
There was an activity where i had to put body expressions in negative and positive sections. That was bit difficult to drop in the relevant section,There was an activity where i had to put body expressions in negative and positive sections. That was bit difficult to drop in the relevant section
The game,The game
it was helpful and easy to understand,it was helpful and easy to understand
Include all the additional hyperlinks in on document that can be downloaded,Include all the additional hyperlinks in on document that can be downloaded
The documents checklist,The documents checklist
I enjoyed it.,I enjoyed it.
The videos on YouTube from Ty and Manu,The videos on YouTube from Ty and Manu
Hr youtube conversation,Hr youtube conversation
The star explanation and interview questions,The star explanation and interview questions
Learning about communication styles,Learning about communication styles
NAa,The
Onboarding Game,Onboarding Game
It would be great if the contents were on video and everything that is written could have audio files.,It would be great if the contents were on video and everything that is written could have audio files.
Topics such as transferable and soft skills and the importance of meditation.,Topics such as transferable and soft skills and the importance of meditation.
Being more attentive to the questions.,Being more attentive to the questions.
Would include audio files to follow the texts.,Would include audio files to follow the texts.
The importance of one's personal brand,The importance of one's personal brand
The topics were very Interesting.,The topics were very Interesting.
Would include audio file files to follow the text.,Would include audio file files to follow the text.
Great content,Great content
Lovely training!,Lovely training!
Interview process,Interview process
I would add audio tracks.,I would add audio tracks.
Use of different communication channels.,Use of different communication channels.
I would add audio files to follow the texts.,I would add audio files to follow the texts.
Great training.,Great training.
I would add audio files.,I would add audio files.
Time Management,Time Management
Great module!,Great module!
It's amaizing! It's fabulous!,It's amaizing! It's fabulous!
"perhaps, some practical examples of correspondence","perhaps, some practical examples of correspondence"
"The material is well presented, everything is accessible and complete.","The material is well presented, everything is accessible and complete."
clear structured information,clear structured information
An excellent module that provides an understanding of corporate ethics at work and opens up opportunities for career growth and earnings.,An excellent module that provides an understanding of corporate ethics at work and opens up opportunities for career growth and earnings.
everything is perfect for me,everything is perfect for me
La méditation n’était plus à nécessaire ou encore le mettre en français,Meditation was no longer necessary or even put it in French
L’explication concernant la force de soi,The explanation concerning self -force
D’accord,All right
Moins d’explications plus de test,Fewer explanations more test
D’accord merci,Ok thank you
Le test sur la façon d’agir et l’importance des réseaux,The test on how to act and the importance of networks
Le text concernant l’implication d’un mentor et son importance,Text concerning the involvement of a mentor and its importance
Des vidéos d’explications en français,Videos of explanations in French
Plus de vidéos explicatives en français,More explanatory videos in French
L’apprentissage des ressources pour trouver un emploi,Learning resources to find a job
Sur la confiance en soie,On silk confidence
Moins d’explications,Fewer explanations
Les cultures organisationnelles,Organizational cultures
The most valuable transferable skills in Canada.,The most valuable transferable skills in Canada.
Have examples of weakness and how canadians deal with that on labour market,Have examples of weakness and how canadians deal with that on labour market
Video about speak in public.,Video about speak in public.
the information about skills and strengths that employers look for in Canada.,the information about skills and strengths that employers look for in Canada.
Exercise that allows us to compare the skills we think we have with those we find when taking a test.,Exercise that allows us to compare the skills we think we have with those we find when taking a test.
All the information provided is valuable. I am sure that all of this help me in my future job search.,All the information provided is valuable. I am sure that all of this help me in my future job search.
"My favorite part was to know the key strengths that Canadian employers are looking for, the journal exercise is a MUST (it will helps me to recognize deeper my soft skills, transferable skills and accomplishments).","My favorite part was to know the key strengths that Canadian employers are looking for, the journal exercise is a MUST (it will helps me to recognize deeper my soft skills, transferable skills and accomplishments)."
I wouldn't say improve if not update the information in RESOURCES part because there was one link related to volunteering benefits that you are not able to open because the page is not found.,I wouldn't say improve if not update the information in RESOURCES part because there was one link related to volunteering benefits that you are not able to open because the page is not found.
Every topic given about personal brand was a shock for me. The LinkedIn guide without a doubt is a guide that I needed so much because currently I had created my LinkedIn account but I do not get to connect or engage with others. I am pretty sure that this guide will help me a lot.,Every topic given about personal brand was a shock for me. The LinkedIn guide without a doubt is a guide that I needed so much because currently I had created my LinkedIn account but I do not get to connect or engage with others. I am pretty sure that this guide will help me a lot.
"Nothing. The topic, the interviews and the materials provided are a MUST.","Nothing. The topic, the interviews and the materials provided are a MUST."
Everything was very interesting. It was really new for me to discover how important is to create a networking in Canada. I will be reading more about to connect with people in events because i am a little shy but i would like to connect with people who work in an area related to my previous job experience.,Everything was very interesting. It was really new for me to discover how important is to create a networking in Canada. I will be reading more about to connect with people in events because i am a little shy but i would like to connect with people who work in an area related to my previous job experience.
"there was a link related to ""Volunteering benefits and job source websites"" that it cannot be seen or downloaded.","there was a link related to ""Volunteering benefits and job source websites"" that it cannot be seen or downloaded."
"You have provided a lot of information and so useful. 
I wonder if it is possible to find a mentor in Victoria, because I could see most of the organizations offer this service for newcomers more in Vancouver.","You have provided a lot of information and so useful. 
I wonder if it is possible to find a mentor in Victoria, because I could see most of the organizations offer this service for newcomers more in Vancouver."
Everything! There are many new information for me. I will apply everything in my future job search.,Everything! There are many new information for me. I will apply everything in my future job search.
About the types of communication styles and best practice for different types of meetings.,About the types of communication styles and best practice for different types of meetings.
Everything was clear,Everything was clear
everything was shared is valuable.,everything was shared is valuable.
adding information for mindset grow,adding information for mindset grow
thank you overall it was useful,thank you overall it was useful
Interview with Sogol Jamali,Interview with Sogol Jamali
teach more about be professional and attract more people in our blog.,teach more about be professional and attract more people in our blog.
please explain to to write attractive post's caption,please explain to to write attractive post's caption
"using hashtags, posting appropriate contents, have personal and professional account","using hashtags, posting appropriate contents, have personal and professional account"
introduction of what is mentor mentee and mentorship was really new to me and I could understand better.,introduction of what is mentor mentee and mentorship was really new to me and I could understand better.
"adding more details, more exercising that would be awesome.","adding more details, more exercising that would be awesome."
overall that was great really appreciate it.,overall that was great really appreciate it.
"interview with Nasir, both videos were great show us a good and a bad interview.","interview with Nasir, both videos were great show us a good and a bad interview."
thank you Mr. Nasir I really appreciate your hardworking throughout of this program to make everything clear for newcomers.,thank you Mr. Nasir I really appreciate your hardworking throughout of this program to make everything clear for newcomers.
adding simple of resume and cover letter.,adding simple of resume and cover letter.
"that was good, thank you.","that was good, thank you."
working more on email writing.,working more on email writing.
"have a communication through email, workplace chat app, phone and meeting with my collogues","have a communication through email, workplace chat app, phone and meeting with my colleagues"
over all it was good.,over all it was good.
"thank you, it's really inform me about my first job in Canada.","thank you, it's really inform me about my first job in Canada."
"job environment behavior, like dressing code, avoid clique, not gossip.","job environment behavior, like dressing code, avoid clique, not gossip."
Very good,Very good
My skill,My skill
A video,A video
The Meditation,The Meditation
It was great overall,It was great overall
My favourite of part the module is how it explained how to use my existing strength and soft skills in Canada.,My favourite of part the module is how it explained how to use my existing strength and soft skills in Canada.
"If module one included more examples, I believe it would be better.","If module one included more examples, I believe it would be better."
"I liked the presentation style, the game form, the ease of understanding of the information","I liked the presentation style, the game form, the ease of understanding of the information"
I think it was nice.,I think it was nice.
"This is a great starting
point to bring awareness to your existing transferrable skills, and identify patterns,
lessons and pathways that have existed in your life.","This is a great starting
point to bring awareness to your existing transferrable skills, and identify patterns,
lessons and pathways that have existed in your life."
Module 1: The value of your existing skills and experience,Module 1: The value of your existing skills and experience
I am able to identify my strengths and can work on improvements  need to make me more eligible for canadian work place.,I am able to identify my strengths and can work on improvements  need to make me more eligible for canadian work place.
"I enjoyed it and very much useful as a new comer to me. As I am preparing my self for interview , it will be of good help from this information.","I enjoyed it and very much useful as a new comer to me. As I am preparing my self for interview , it will be of good help from this information."
Meditation and time based self evaluation,Meditation and time based self evaluation
"My skill on LinkedIn and my way of job searching.
I learned how to be prepared for digital interviews and self confident during online conference or discussion.","My skill on LinkedIn and my way of job searching.
I learned how to be prepared for digital interviews and self confident during online conference or discussion."
Its very interested and helpful,Its very interested and helpful
"Showing us importance and use of digital platform.
How to make it look professional and more advance.","Showing us importance and use of digital platform.
How to make it look professional and more advance."
"I learnt about importance of mentors and how to communicate with them, improving relationship that will be beneficial in future.","I learnt about importance of mentors and how to communicate with them, improving relationship that will be beneficial in future."
It improves my thought about  mentor,It improves my thought about  mentor
Its very useful to me for job searching and understanding the canadian work environment,Its very useful to me for job searching and understanding the canadian work environment
"I understand more about stages of interviews.
How to mail and keep in touch with HR team.
How to show our body language and our abilities to interviewer.","I understand more about stages of interviews.
How to mail and keep in touch with HR team.
How to show our body language and our abilities to interviewer."
"Showing how to be prepared for interviews, Our confidence building during interviews and how to stay stable and positive until result comes whether Positive or negative.","Showing how to be prepared for interviews, Our confidence building during interviews and how to stay stable and positive until result comes whether Positive or negative."
Very useful information as i am preparing my self for job and job searching. Also got knowledge about how reference work in canadian work culture.,Very useful information as i am preparing my self for job and job searching. Also got knowledge about how reference work in canadian work culture.
Way of use different communication method and make our communication easy with effective communication,Way of use different communication method and make our communication easy with effective communication
"Effect of our Voice and tone as we not take it seriously.
I enjoyed quiz section also.","Effect of our Voice and tone as we not take it seriously.
I enjoyed quiz section also."
how to negotiate Salary,how to negotiate Salary
very easy to understand and helpful,very easy to understand and helpful
Understanding of organizational culture and how to be ready for new job with new work place,Understanding of organizational culture and how to be ready for new job with new work place
Time management,Time management
It’s perfect,It’s perfect
No things,No things
Linked in posting,Linkedin posting
No thing to add it’s cover it all,No thing to add it’s cover it all
More details,More details
Linked in connection,Linkedin connection
my way of using social media,my way of using social media
social media and personal branding,social media and personal branding
some more sample question and answers,some more sample question and answers
Interview videos,Interview videos
last video,last video
its really good already,its really good already
you can add more videos,you can add more videos
all was helpful,all was helpful
its good already,its good already
"Nothing
It's was good","Nothing
It's was good"
Thanks so much for letting me do this course,Thanks so much for letting me do this course
Meditation and quiz,Meditation and quiz
Self branding and to knowing about LinkedIn,Self branding and to knowing about LinkedIn
"Self branding,confidence, to not be afraid to silence","Self branding,confidence, to not be afraid to silence"
It All good,It All good
Thanks you to teach me about mentorship,Thanks you to teach me about mentorship
"About  mentorship
And volunteer","About  mentorship
And volunteer"
The interview with nasir,The interview with nasir
Learning about communication,Learning about communication
Salary negotiation,Salary negotiation
The animation of the immigrant.,The animation of the immigrant.
the introduction of digital resume.,the introduction of digital resume.
learnt a lot as a newcomer in canada,learnt a lot as a newcomer in canada
more informative,more informative
the video game quiz,the video game quiz
more quiz game,more quiz game
More videos/Listening tapes rather than text,More videos/Listening tapes rather than text
The interview video,The interview video
tools to identify your soft skills,tools to identify your soft skills
eye opener to Canadian job markets,eye opener to Canadian job markets
my transferable skill,my transferable skill
using social media and how to prepare for online interview,using social media and how to prepare for online interview
linkedIn profile,linkedIn profile
YES,YES
types of mentors,types of mentors
mentorship,mentorship
communication styles,communication styles
be more detailed on some areas like KPI,be more detailed on some areas like KPI
time and expectation,time and expectation
I learned a lot about the different skills you can use in you working area and  how can improve each,I learned a lot about the different skills you can use in you working area and  how can improve each
More dynamic,More dynamic
"To  Know deferent  types of employment in Canada,
and the skills they looking","To Know different types of employment in Canada,
and the skills they looking"
I like how they explained step by step the different forms of personal branding,I like how they explained step by step the different forms of personal branding
the different ways we have to communicate and the different tools that you can find on the internet to improve your profile,the different ways we have to communicate and the different tools that you can find on the internet to improve your profile
"the different way what is there to able to relate to other people,
volunteering is a good way to develop your skills when it comes to having a job","the different way what is there to able to relate to other people,
volunteering is a good way to develop your skills when it comes to having a job"
add interactive games about the topic being discussed,add interactive games about the topic being discussed
it is very interesting to learn more about the culture here in Canada  and the different programs they have to help a newcomers,it is very interesting to learn more about the culture here in Canada  and the different programs they have to help a newcomers
I like the way they explain each topic and the steps to follow and how can one improve heir skills and Knowledge,I like the way they explain each topic and the steps to follow and how can one improve their skills and Knowledge
"the different ways you can have an interview, the correct filling out of you CV and how should you behave when you having a job interview,","the different ways you can have an interview, the correct filling out of you CV and how should you behave when you having a job interview,"
nothing:),nothing:)
"the different ways we have to communicate email, meetings, phone calls, text, voice mail and the points we should consider using these tools","the different ways we have to communicate email, meetings, phone calls, text, voice mail and the points we should consider using these tools"
I enjoyed doing this module,I enjoyed doing this module
the components of an offer letter,the components of an offer letter
was fun,was fun
make it shorter,make it shorter
no comments,no comments
the most required strength skills,the most required strength skills
na,na
the organization culture section,the organization culture section
nothing to add,nothing to add
All of the Module is my Favourite,All of the Module is my Favourite
absolutely Nothing,absolutely Nothing
No Comments,No Comments
All the Module is my favorite part,All the Module is my favorite part
EVERYTHING,EVERYTHING
NOTHING,NOTHING
noting\g,noting\g
interesting,interesting
Everything,Everything
Absolutely nothing,Absolutely nothing
Its perfect,Its perfect
Thank you,Thank you
Thank you,Thank you
Guide to Linkedin,Guide to Linkedin
communication channels,communication channels
Quiz and board game,Quiz and board game
"Etant plus auditive et visuelle, j'aurai aimé que la partie la plus consistante du module soit soit en audio ou vidéo, avec bien sûr la transcription nécessaire pour les personnes qui préfèrent lire. Mais en gros, je trouve que le module est bien structuré et on ne perd pas le fil même en lisant.","Being more auditory and visual, I would have liked the most consistent part of the module to either audio or video, with of course the transcription necessary for people who prefer to read.But basically, I find that the module is well structured and we do not lose the wire even while reading."
"Je trouve qu'il est assez riche en renseignements et en informations, je ne pourrai pour pas penser à des propositions ou des améliorations à y apporter.","I find that it is rich enough in information and information, I will not be able to think of proposals or improvements to make it."
"Pouvoir identifier mes forces et comprendre les compétences auxquels aspirent les employeurs au Canada, les conseils de Jamali, le jeu de Nacer, et le quiz.","Being able to identify my strengths and understand the skills to which employers in Canada, Jamali's advice, Nacer's game, and quiz."
Pas d'améliorations à suggérer,No improvements to suggest
"module très riche dont j'ai besoin actuellement pour revoir mon image sur les réseaux sociaux et pouvoir travailler dessus, surtout LinkedIn.","Very rich module I currently need to review my image on social networks and be able to work on it, especially Linkedin."
"Aider Naser à répondre à ses questions, le guide d'usage de LinkedIn, gérer son activité sur les différents réseaux sociaux.","Help to be born to answer your questions, the LinkedIn use guide, manage its activity on different social networks."
"La définition de communauté de support, qui pour moi est une appellation que j'ignorais. 
L'importance d'avoir un mentor et la manière dont je peux l'aborder.
Le bénévolat et son rôle dans la constitution d'un réseau tout en s'engageant pour une cause qui me tient à coeur.","The definition of support community, which for me is an appellation that I did not know. 
The importance of having a mentor and the way I can approach it.
Volunteering and its role in the creation of a network while committing to a cause that is close to my heart."
Je trouve que le module touche à tous les aspects nécessaires.,I find that the module affects all the necessary aspects.
The quiz,The quiz
The module is interesting but an abridge version will be preferable,The module is interesting but an abridge version will be preferable
